timestamp,pool_id,chosen_fork,v27_profitability_usd,v26_profitability_usd,rational_choice,ideology_override,opportunity_cost_usd,cumulative_cost_usd,reason
1774142949.5909934,pool-foundryusa,v27,47064008.79428756,46339519.198147476,v27,False,0,0.0,Ideology and profit aligned
1774142949.5909934,pool-marapool,v26,7216481.348457424,7105392.943715945,v27,True,111088.40474147908,111088.40474147908,Ideology: supporting v26 (loss 1.5% < tolerance 13.0%)
1774142949.5909934,pool-luxor,v26,3608240.674228712,3552696.4718579724,v27,True,55544.20237073954,55544.20237073954,Ideology: supporting v26 (loss 1.5% < tolerance 13.0%)
1774142949.5909934,pool-ocean,v26,1882560.3517715028,1853580.767925899,v27,True,28979.583845603745,28979.583845603745,Ideology: supporting v26 (loss 1.5% < tolerance 13.0%)
1774142949.5909934,pool-antpool,v26,26512724.954115324,26104595.814956404,v27,True,408129.13915891945,408129.13915891945,Ideology: supporting v26 (loss 1.5% < tolerance 13.0%)
1774142949.5909934,pool-f2pool,v26,17099923.195257813,16836691.97532691,v27,True,263231.2199309021,263231.2199309021,Ideology: supporting v26 (loss 1.5% < tolerance 13.0%)
1774142949.5909934,pool-viabtc,v27,17570563.283200685,17300087.167308386,v27,False,0,0.0,Rational profit maximization
1774142949.5909934,pool-spiderpool,v27,14589842.726229146,14365250.95142572,v27,False,0,0.0,Rational profit maximization
1774143549.7042124,pool-foundryusa,v26,97769970.25483136,122120954.60442027,v26,False,0,0.0,Forced switch: loss 19.9% exceeds tolerance 13.0%
1774143549.7042124,pool-marapool,v26,14991395.439074142,18725213.039344437,v26,False,0,111088.40474147908,Ideology and profit aligned
1774143549.7042124,pool-luxor,v26,7495697.719537071,9362606.519672219,v26,False,0,55544.20237073954,Ideology and profit aligned
1774143549.7042124,pool-ocean,v26,3910798.8101932546,4884838.184176811,v26,False,0,28979.583845603745,Ideology and profit aligned
1774143549.7042124,pool-antpool,v26,55077083.243555,68794804.42715675,v26,False,0,408129.13915891945,Ideology and profit aligned
1774143549.7042124,pool-f2pool,v26,35523089.19258873,44370613.50627271,v26,False,0,263231.2199309021,Ideology and profit aligned
1774143549.7042124,pool-viabtc,v26,36500788.89513705,45591823.0523169,v26,False,0,0.0,Rational profit maximization
1774143549.7042124,pool-spiderpool,v26,30308690.778997727,37857495.92737029,v26,False,0,0.0,Rational profit maximization
