timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate
0,60000,60000,77.94999999999999,20.419999999999998,55.00340053519982,44.99659946480019,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.023520804163010407,0.07345184372314756,0,0,55.003412028492974,44.996587971507026,0.25,0.25
60,60000,60000,77.94999999999999,20.419999999999998,55.00340053519982,44.99659946480019,7,2,1.0,1.0,7.0,2.0,1.0,1.0,0.01,0.01,0.023520804163010407,0.07345184372314756,0,0,55.003412028492974,44.996587971507026,0.25,0.25
121,63942.008064223985,55979.751935776025,77.94999999999999,20.419999999999998,55.00340053519982,44.99659946480019,13,2,1.0,1.0,13.0,2.0,0.023520809077824667,0.07345182496165038,0.00023520809077824667,0.0007345182496165039,0.023520804163010407,0.07345184372314756,0,0,55.003412028492974,44.996587971507026,0.25,0.25
181,64582.008064223985,55339.75193577603,77.94999999999999,20.419999999999998,55.00340053519982,44.99659946480019,15,4,1.0,1.0,15.0,4.0,0.023520809077824667,0.07345182496165038,0.00023520809077824667,0.0007345182496165039,0.023520804163010407,0.07345184372314756,0,0,55.003412028492974,44.996587971507026,0.25,0.25
241,64026.21859053977,55895.541409460246,77.94999999999999,20.419999999999998,55.00340053519982,44.99659946480019,15,4,1.0,1.0,15.0,4.0,0.023520809077824667,0.07345182496165038,0.00023520809077824667,0.0007345182496165039,0.023520804163010407,0.07345184372314756,0,0,55.003412028492974,44.996587971507026,0.25,0.25
302,64026.21859053977,55895.541409460246,77.94999999999999,20.419999999999998,55.00340053519982,44.99659946480019,20,4,1.0,1.0,20.0,4.0,0.023520809077824667,0.07345182496165038,0.00023520809077824667,0.0007345182496165039,0.023520804163010407,0.07345184372314756,0,0,55.003412028492974,44.996587971507026,0.25,0.25
362,64342.008064223985,55579.75193577603,77.94999999999999,20.419999999999998,55.00340053519982,44.99659946480019,25,6,1.0,1.0,25.0,6.0,0.023520809077824667,0.07345182496165038,0.00023520809077824667,0.0007345182496165039,0.023520804163010407,0.07345184372314756,0,0,55.003412028492974,44.996587971507026,0.25,0.25
422,64148.45967712721,55773.300322872805,77.94999999999999,20.419999999999998,55.00340053519982,44.99659946480019,31,7,1.0,1.0,31.0,7.0,0.023520809077824667,0.07345182496165038,0.00023520809077824667,0.0007345182496165039,0.023520804163010407,0.07345184372314756,0,0,55.003412028492974,44.996587971507026,0.25,0.25
483,64215.69227475029,55706.06772524971,77.94999999999999,20.419999999999998,55.00340053519982,44.99659946480019,37,8,1.0,1.0,37.0,8.0,0.023520809077824667,0.07345182496165038,0.00023520809077824667,0.0007345182496165039,0.023520804163010407,0.07345184372314756,0,0,55.003412028492974,44.996587971507026,0.25,0.25
544,64262.00806422399,55659.75193577603,77.94999999999999,20.419999999999998,55.00340053519982,44.99659946480019,42,10,1.0,1.0,42.0,10.0,0.023520809077824667,0.07345182496165038,0.00023520809077824667,0.0007345182496165039,0.023520804163010407,0.07345184372314756,0,0,55.003412028492974,44.996587971507026,0.25,0.25
604,64157.3926796086,55764.36732039141,98.36999999999999,0.0,55.00340053519982,44.99659946480019,50,12,1.0,1.0,50.0,12.0,0.023520809077824667,0.07345182496165038,0.00023520809077824667,0.0007345182496165039,0.01863827065677199,14.998866488266732,0,0,55.003412028492974,44.996587971507026,0.25,0.25
665,65128.61967712721,54793.1403228728,98.36999999999999,0.0,55.00340053519982,44.99659946480019,57,12,1.0,1.0,57.0,12.0,0.018638274551351353,14.99886265716901,0.00018638274551351354,0.1499886265716901,0.01863827065677199,14.998866488266732,0,139.9886265716901,55.003412028492974,44.996587971507026,0.25,0.25
725,65269.99415118051,54651.7658488195,98.36999999999999,0.0,55.00340053519982,44.99659946480019,59,12,1.0,1.0,59.0,12.0,0.018638274551351353,14.99886265716901,0.00018638274551351354,0.1499886265716901,0.01863827065677199,14.998866488266732,0,139.9886265716901,55.003412028492974,44.996587971507026,0.25,0.25
785,65305.266655773274,54616.49334422673,98.36999999999999,0.0,55.00340053519982,44.99659946480019,66,12,1.0,1.0,66.0,12.0,0.018638274551351353,14.99886265716901,0.00018638274551351354,0.1499886265716901,0.01863827065677199,14.998866488266732,0,139.9886265716901,55.003412028492974,44.996587971507026,0.25,0.25
845,65414.47575653167,54507.28424346833,98.36999999999999,0.0,55.00340053519982,44.99659946480019,71,12,1.0,1.0,71.0,12.0,0.018638274551351353,14.99886265716901,0.00018638274551351354,0.1499886265716901,0.01863827065677199,14.998866488266732,0,139.9886265716901,55.003412028492974,44.996587971507026,0.25,0.25
905,65481.20420880229,54440.55579119771,98.36999999999999,0.0,55.00340053519982,44.99659946480019,77,12,1.0,1.0,77.0,12.0,0.018638274551351353,14.99886265716901,0.00018638274551351354,0.1499886265716901,0.01863827065677199,14.998866488266732,0,139.9886265716901,55.003412028492974,44.996587971507026,0.25,0.25
965,65551.38154737005,54370.378452629964,98.36999999999999,0.0,55.00340053519982,44.99659946480019,80,12,1.0,1.0,80.0,12.0,0.018638274551351353,14.99886265716901,0.00018638274551351354,0.1499886265716901,0.01863827065677199,14.998866488266732,0,139.9886265716901,55.003412028492974,44.996587971507026,0.25,0.25
1026,65583.03762944137,54338.722370558644,98.36999999999999,0.0,55.00340053519982,44.99659946480019,87,12,1.0,1.0,87.0,12.0,0.018638274551351353,14.99886265716901,0.00018638274551351354,0.1499886265716901,0.01863827065677199,14.998866488266732,0,139.9886265716901,55.003412028492974,44.996587971507026,0.25,0.25
