timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate
0,60000,60000,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
60,60000,60000,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,1,3,1.0,1.0,1.0,3.0,1.0,1.0,0.01,0.01,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
120,60000,60000,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,4,8,1.0,1.0,4.0,8.0,0.03756290104606469,0.03026408662782316,0.0003756290104606469,0.00030264086627823156,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
181,59343.26755848408,60578.492441515926,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,8,11,1.0,1.0,8.0,11.0,0.03756290104606469,0.03026408662782316,0.0003756290104606469,0.00030264086627823156,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
241,59974.8465058525,59946.913494147506,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,12,15,1.0,1.0,12.0,15.0,0.03756290104606469,0.03026408662782316,0.0003756290104606469,0.00030264086627823156,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
301,60143.267558484076,59778.492441515926,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,14,19,1.0,1.0,14.0,19.0,0.03756290104606469,0.03026408662782316,0.0003756290104606469,0.00030264086627823156,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
361,59997.81301302953,59923.94698697047,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,15,21,1.0,1.0,15.0,21.0,0.03756290104606469,0.03026408662782316,0.0003756290104606469,0.00030264086627823156,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
421,59943.26755848408,59978.492441515926,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,19,22,1.0,1.0,19.0,22.0,0.03756290104606469,0.03026408662782316,0.0003756290104606469,0.00030264086627823156,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
481,60279.852924337734,59641.90707566227,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,20,25,1.0,1.0,20.0,25.0,0.03756290104606469,0.03026408662782316,0.0003756290104606469,0.00030264086627823156,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
542,60143.267558484076,59778.492441515926,48.809999999999995,49.559999999999995,55.003229654033994,44.99677034596602,26,30,1.0,1.0,26.0,30.0,0.03756290104606469,0.03026408662782316,0.0003756290104606469,0.00030264086627823156,0.037562814760659695,0.030264171607456297,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
602,60286.12470134122,59635.63529865878,59.48,38.89,55.003229654033994,44.99677034596602,26,31,1.0,1.0,26.0,31.0,0.03756290104606469,0.03026408662782316,0.0003756290104606469,0.00030264086627823156,0.03082449543489912,0.03856755836630325,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
662,60739.638084799866,59182.121915200136,59.48,38.89,55.003229654033994,44.99677034596602,27,34,1.0,1.0,27.0,34.0,0.030824566241735327,0.038567450071352934,0.00030824566241735324,0.00038567450071352936,0.03082449543489912,0.03856755836630325,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
722,60642.31280438572,59279.447195614295,59.48,38.89,55.003229654033994,44.99677034596602,28,36,1.0,1.0,28.0,36.0,0.030824566241735327,0.038567450071352934,0.00030824566241735324,0.00038567450071352936,0.03082449543489912,0.03856755836630325,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
782,60605.42755848408,59316.33244151593,59.48,38.89,55.003229654033994,44.99677034596602,31,38,1.0,1.0,31.0,38.0,0.030824566241735327,0.038567450071352934,0.00030824566241735324,0.00038567450071352936,0.03082449543489912,0.03856755836630325,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
842,60690.21016717973,59231.54983282028,59.48,38.89,55.003229654033994,44.99677034596602,33,40,1.0,1.0,33.0,40.0,0.030824566241735327,0.038567450071352934,0.00030824566241735324,0.00038567450071352936,0.03082449543489912,0.03856755836630325,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
903,60710.222079032035,59211.53792096798,59.48,38.89,55.003229654033994,44.99677034596602,41,45,1.0,1.0,41.0,45.0,0.030824566241735327,0.038567450071352934,0.00030824566241735324,0.00038567450071352936,0.03082449543489912,0.03856755836630325,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
963,60887.98569801897,59033.774301981044,59.48,38.89,55.003229654033994,44.99677034596602,42,47,1.0,1.0,42.0,47.0,0.030824566241735327,0.038567450071352934,0.00030824566241735324,0.00038567450071352936,0.03082449543489912,0.03856755836630325,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1024,60853.18036747284,59068.579632527166,59.48,38.89,55.003229654033994,44.99677034596602,50,47,1.0,1.0,50.0,47.0,0.030824566241735327,0.038567450071352934,0.00030824566241735324,0.00038567450071352936,0.03082449543489912,0.03856755836630325,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1084,61166.76776466965,58754.99223533036,59.48,38.89,55.003229654033994,44.99677034596602,51,49,1.0,1.0,51.0,49.0,0.030824566241735327,0.038567450071352934,0.00030824566241735324,0.00038567450071352936,0.03082449543489912,0.03856755836630325,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1144,61127.42755848407,58794.33244151593,59.48,38.89,55.003229654033994,44.99677034596602,55,51,1.0,1.0,55.0,51.0,0.030824566241735327,0.038567450071352934,0.00030824566241735324,0.00038567450071352936,0.03082449543489912,0.03856755836630325,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1204,61191.27661508786,58730.48338491215,67.73,30.64,55.003229654033994,44.99677034596602,58,54,1.0,1.0,58.0,54.0,0.030824566241735327,0.038567450071352934,0.00030824566241735324,0.00038567450071352936,0.027069850708220874,0.04895210002824849,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1264,61579.99898705551,58341.761012944495,67.73,30.64,55.003229654033994,44.99677034596602,62,57,1.0,1.0,62.0,57.0,0.02706991289027635,0.048951962574246596,0.0002706991289027635,0.000489519625742466,0.027069850708220874,0.04895210002824849,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1324,61602.68806268576,58319.07193731424,67.73,30.64,55.003229654033994,44.99677034596602,64,59,1.0,1.0,64.0,59.0,0.02706991289027635,0.048951962574246596,0.0002706991289027635,0.000489519625742466,0.027069850708220874,0.04895210002824849,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1384,61597.76902189871,58323.99097810129,67.73,30.64,55.003229654033994,44.99677034596602,72,59,1.0,1.0,72.0,59.0,0.02706991289027635,0.048951962574246596,0.0002706991289027635,0.000489519625742466,0.027069850708220874,0.04895210002824849,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1445,61808.679466881025,58113.08053311898,67.73,30.64,55.003229654033994,44.99677034596602,75,62,1.0,1.0,75.0,62.0,0.02706991289027635,0.048951962574246596,0.0002706991289027635,0.000489519625742466,0.027069850708220874,0.04895210002824849,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
1505,61793.033397900144,58128.726602099865,67.73,30.64,55.003229654033994,44.99677034596602,78,65,1.0,1.0,78.0,65.0,0.02706991289027635,0.048951962574246596,0.0002706991289027635,0.000489519625742466,0.027069850708220874,0.04895210002824849,0,0,55.00335600175252,44.99664399824747,0.0,0.49999999999999994
