timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate
0,60000,60000,38.1,48.3,76.18100976471541,23.818990235284577,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.01333001045751801,0.003287645305077236,0,0,82.46019818573205,17.539801814267964,4.845,15.129999999999999
60,60000,60000,38.1,48.3,76.18100976471541,23.818990235284577,9,15,1.0,1.0,9.0,15.0,1.0,1.0,0.01,0.01,0.01333001045751801,0.003287645305077236,0,0,82.46019818573205,17.539801814267964,4.845,15.129999999999999
121,61670.52117176585,57676.67882823415,38.1,48.3,76.18100976471541,23.818990235284577,21,29,1.0,1.0,21.0,29.0,0.014428731091116722,0.002420952631368939,0.00014428731091116722,2.420952631368939e-05,0.01333001045751801,0.003287645305077236,0,0,82.46019818573205,17.539801814267964,4.845,15.129999999999999
181,61994.52117176586,57352.67882823415,38.1,48.3,76.18100976471541,23.818990235284577,31,39,1.0,1.0,31.0,39.0,0.014428731091116722,0.002420952631368939,0.00014428731091116722,2.420952631368939e-05,0.01333001045751801,0.003287645305077236,0,0,82.46019818573205,17.539801814267964,4.845,15.129999999999999
241,62159.09260033729,57188.107399662724,38.1,48.3,76.18100976471541,23.818990235284577,42,53,1.0,1.0,42.0,53.0,0.014428731091116722,0.002420952631368939,0.00014428731091116722,2.420952631368939e-05,0.01333001045751801,0.003287645305077236,0,0,82.46019818573205,17.539801814267964,4.845,15.129999999999999
302,62153.67906650269,57193.52093349731,38.1,48.3,76.18100976471541,23.818990235284577,54,67,1.0,1.0,54.0,67.0,0.014428731091116722,0.002420952631368939,0.00014428731091116722,2.420952631368939e-05,0.01333001045751801,0.003287645305077236,0,0,82.46019818573205,17.539801814267964,4.845,15.129999999999999
362,62183.744312261726,57163.455687738286,38.1,48.3,76.18100976471541,23.818990235284577,65,78,1.0,1.0,65.0,78.0,0.014428731091116722,0.002420952631368939,0.00014428731091116722,2.420952631368939e-05,0.01333001045751801,0.003287645305077236,0,0,82.46019818573205,17.539801814267964,4.845,15.129999999999999
423,62243.248444493125,57103.95155550688,38.1,48.3,76.18100976471541,23.818990235284577,79,94,1.0,1.0,79.0,94.0,0.014428731091116722,0.002420952631368939,0.00014428731091116722,2.420952631368939e-05,0.01333001045751801,0.003287645305077236,0,0,82.46019818573205,17.539801814267964,4.845,15.129999999999999
484,62258.38244344216,57088.81755655785,38.1,48.3,76.18100976471541,23.818990235284577,89,113,1.0,1.0,89.0,113.0,0.014428731091116722,0.002420952631368939,0.00014428731091116722,2.420952631368939e-05,0.01333001045751801,0.003287645305077236,0,0,82.46019818573205,17.539801814267964,4.845,15.129999999999999
544,62142.79839948863,57204.40160051138,38.1,48.3,76.18100976471541,23.818990235284577,106,128,1.0,1.0,106.0,128.0,0.014428731091116722,0.002420952631368939,0.00014428731091116722,2.420952631368939e-05,0.01333001045751801,0.003287645305077236,0,0,82.46019818573205,17.539801814267964,4.845,15.129999999999999
605,62232.059633304314,57115.14036669569,86.4,0.0,76.18100976471541,23.818990235284577,118,141,1.0,1.0,118.0,141.0,0.014428731091116722,0.002420952631368939,0.00014428731091116722,2.420952631368939e-05,0.005878164333697176,1.587932682352305,0,0,82.46019818573205,17.539801814267964,4.845,15.129999999999999
666,64569.23005207473,54777.969947925274,86.4,0.0,76.18100976471541,23.818990235284577,141,141,1.0,1.0,141.0,141.0,0.006362669613096609,1.1693201209511974,6.362669613096608e-05,0.011693201209511974,0.005878164333697176,1.587932682352305,0,1.6932012095119742,82.46019818573205,17.539801814267964,4.845,15.129999999999999
726,64888.92117176585,54458.27882823415,86.4,0.0,76.18100976471541,23.818990235284577,193,141,0.4266666666666667,1.0,164.90666666666715,141.0,0.006362669613096609,1.1693201209511974,6.362669613096608e-05,0.011693201209511974,0.0025080167823774624,1.587932682352305,0,1.6932012095119742,82.46019818573205,17.539801814267964,4.845,15.129999999999999
787,65170.26188570911,54176.9381142909,86.4,0.0,76.18100976471541,23.818990235284577,254,141,0.4266666666666667,1.0,190.93333333333442,141.0,0.00271473903492122,1.1693201209511974,2.7147390349212202e-05,0.011693201209511974,0.0025080167823774624,1.587932682352305,0,1.6932012095119742,82.46019818573205,17.539801814267964,4.845,15.129999999999999
847,65430.47570078776,53916.72429921225,86.4,0.0,76.18100976471541,23.818990235284577,300,141,0.8416438356164384,1.0,215.53972602739884,141.0,0.00271473903492122,1.1693201209511974,2.7147390349212202e-05,0.011693201209511974,0.004947320776196638,1.587932682352305,0,1.6932012095119742,82.46019818573205,17.539801814267964,4.845,15.129999999999999
